Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Water:Facility [m3](Monthly),EnergyTransfer:Facility [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricityNet:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),PlantLoopHeatingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),MainsWater:Facility [m3](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Source:Facility [J](Monthly),SO2:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),PM10:Facility [kg](Monthly),CO:Facility [kg](Monthly),CO2:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly) 
 01/01  01:00:00,1017836977.9693947,78461147.76160836,0.0,0.0,134569963.08410802,538279852.336432,674621768.5145491,674549768.5145491,72000.0 
 01/01  02:00:00,1007275595.2132325,67987183.9367148,0.0,0.0,134569963.08410802,538279852.336432,597968561.650495,589888938.24243,8079623.408065116 
 01/01  03:00:00,1024665117.5756938,84983979.92089349,0.0,0.0,134569963.08410802,538279852.336432,906235836.434304,898156204.968097,8079631.466207017 
 01/01  04:00:00,1143630906.3760936,67987183.9367148,5742.485103414217,0.0,134569963.08410802,538279852.336432,772502223.733976,764421823.1452522,8080400.588723769 
 01/01  05:00:00,1069281690.8470081,84983979.92089349,0.0,0.0,134569963.08410802,538279852.336432,1249515212.0261202,1241434804.7735827,8080407.252537663 
 01/01  06:00:00,1140067970.728452,67987183.9367148,0.0,0.0,134569963.08410802,538279852.336432,1010507292.2730234,1002417634.5663383,8089657.7066852115 
 01/01  07:00:00,1333533823.1928678,84983979.92089349,0.0,0.0,134569963.08410802,538279852.336432,1291714346.591655,1283633893.914512,8080452.677143158 
 01/01  08:00:00,1255975811.189588,67987183.9367148,0.0,0.0,134569963.08410802,538279852.336432,878369042.399752,870288565.9745597,8080476.425192418 
 01/01  09:00:00,1198868614.919146,84983979.92089349,0.0,0.0,134569963.08410802,538279852.336432,716381807.2122324,708301311.8933827,8080495.318849692 
 01/01  10:00:00,1049250079.6060781,67987183.9367148,0.0,0.0,134569963.08410802,538279852.336432,308517240.92363775,300436739.07312036,8080501.850517363 
 01/01  11:00:00,890219297.3542148,84983979.92089349,0.0,0.0,134569963.08410802,538279852.336432,309830965.9996125,309758965.9996125,72000.0 
 01/01  12:00:00,873065121.2975547,67987183.9367148,0.0,0.0,134569963.08410802,538279852.336432,208452023.33523273,192352039.8770552,16099983.458177548 
 01/01  13:00:00,811812281.71243,6897155.859658495,0.0,0.0,134569963.08410802,538279852.336432,58564953.06405857,50478296.37191178,8086656.6921467865 
 01/01  14:00:00,810406612.6890894,5517724.687726796,0.0,0.0,134569963.08410802,538279852.336432,38326277.936859496,22206715.877112217,16119562.059747275 
 01/01  15:00:00,833037864.7583252,4138293.5157950968,499916.33877645,0.0,134569963.08410802,538279852.336432,17256595.04698257,9171575.016508713,8085020.030473858 
 01/01  16:00:00,804856316.2112818,0.0,0.0,0.0,134569963.08410802,538279852.336432,8080230.484558231,0.0,8080230.484558231 
 01/01  17:00:00,1021270128.5138574,3448577.9298292473,0.0,0.0,134569963.08410802,538279852.336432,16063370.0747823,7982973.25873295,8080396.816049351 
 01/01  18:00:00,1343272838.2956634,8641197.650176195,0.0,0.0,134569963.08410802,538279852.336432,39758791.12290277,31678260.749990612,8080530.372912162 
 01/01  19:00:00,1411950341.6960251,77175297.51477,0.0,0.0,134569963.08410802,538279852.336432,168860686.7073999,168788686.7073999,72000.0 
 01/01  20:00:00,1314805557.9381442,67987183.9367148,0.0,0.0,134569963.08410802,538279852.336432,223285307.39661387,215204770.46568665,8080536.930927207 
 01/01  21:00:00,1331951493.6245387,84983979.92089349,0.0,0.0,134569963.08410802,538279852.336432,372961536.36008227,364881754.37522036,8079781.984861891 
 01/01  22:00:00,1226974507.047333,67987183.9367148,0.0,0.0,134569963.08410802,538279852.336432,390049136.30119383,373942257.9873002,16106878.313893609 
 01/01  23:00:00,1156128790.1758788,84983979.92089349,0.0,0.0,134569963.08410802,538279852.336432,520748808.25597256,520676808.25597256,72000.0 
 01/01  24:00:00,1051260234.9753106,67987183.9367148,0.0,0.0,134569963.08410802,538279852.336432,609047019.7113769,600966579.4523519,8080440.25902489 
 01/02  01:00:00,1203670011.8511162,84983979.92089349,0.0,0.0,134569963.08410802,717706469.7819098,579074877.1116662,570991939.0257521,8082938.085914173 
 01/02  02:00:00,1186739592.8181782,67987183.9367148,0.0,0.0,134569963.08410802,717706469.7819098,635382660.6854072,627299176.0074762,8083484.67793091 
 01/02  03:00:00,1204070950.8933005,84983979.92089349,0.0,0.0,134569963.08410802,717706469.7819098,883151526.648706,875068033.5372287,8083493.11147732 
 01/02  04:00:00,1187373418.3204288,67987183.9367148,0.0,0.0,134569963.08410802,717706469.7819098,1014164848.3992722,1006081258.766155,8083589.633117198 
