Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Water:Facility [m3](Monthly),EnergyTransfer:Facility [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricityNet:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),PlantLoopHeatingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),MainsWater:Facility [m3](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Source:Facility [J](Monthly),SO2:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),PM10:Facility [kg](Monthly),CO:Facility [kg](Monthly),CO2:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly) 
 01/01  01:00:00,1038229721.1781361,93826644.56062818,0.0,0.0,134569963.08410802,538279852.336432,3510113666.4109783,3502030804.16076,8082862.250218145 
 01/01  02:00:00,1023205005.1451678,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,3184685512.007978,3176602361.5058174,8083150.5021603275 
 01/01  03:00:00,1045527647.7079864,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,4248293133.3319864,4240210517.436841,8082615.895145296 
 01/01  04:00:00,1023224134.7935469,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,3180224206.487203,3172140963.6943893,8083242.792813871 
 01/01  05:00:00,1089570994.3515456,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,4278152124.2725267,4270069198.3123274,8082925.9601993775 
 01/01  06:00:00,1155258272.3726802,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,3198857651.831352,3190763376.3534355,8094275.477916348 
 01/01  07:00:00,1353666843.9533901,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,4321446768.4145565,4313363566.495105,8083201.919452046 
 01/01  08:00:00,1271333710.5000312,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,3151019529.259587,3142937272.3952413,8082256.864346096 
 01/01  09:00:00,1217807004.0753653,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,3556954344.129102,3548871240.7717643,8083103.35733809 
 01/01  10:00:00,1063131358.5264397,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,2205088002.5131865,2197005436.6981015,8082565.815085039 
 01/01  11:00:00,907353909.4950763,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,2501152569.539001,2493069376.525931,8083193.013070049 
 01/01  12:00:00,886091993.2035229,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,1702018360.0856838,1685909780.3497772,16108579.73590657 
 01/01  13:00:00,906526072.8923233,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,2284069464.7969337,2275979333.00673,8090131.790203427 
 01/01  14:00:00,885652272.4680502,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,1737006266.9752533,1712845429.483864,24160837.49138919 
 01/01  15:00:00,906067290.514458,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,2371049229.0540013,2362958602.847229,8090626.206772433 
 01/01  16:00:00,885684886.4918486,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,1865358930.229054,1857275687.7663116,8083242.462742442 
 01/01  17:00:00,1230321578.1260762,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,2665689218.901375,2657606731.8189106,8082487.0824646875 
 01/01  18:00:00,1415698249.3689308,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,2028443257.079444,2020360142.171955,8083114.907489022 
 01/01  19:00:00,1436771546.2710302,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,2897390392.5508223,2889307595.6958666,8082796.854955684 
 01/01  20:00:00,1327970111.7551987,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,2117955770.3312914,2109872566.267041,8083204.064250357 
 01/01  21:00:00,1348674982.0726166,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,2849109902.782113,2841026796.281326,8083106.500787362 
 01/01  22:00:00,1239893884.5392787,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,2115693347.2364473,2099577675.8583078,16115671.378139447 
 01/01  23:00:00,1172839937.276294,97736088.08398768,0.0,0.0,134569963.08410802,538279852.336432,2935232524.769556,2927149402.85446,8083121.915096273 
 01/01  24:00:00,1064104867.7454393,78188870.46719015,0.0,0.0,134569963.08410802,538279852.336432,2199310271.03558,2191227686.5412555,8082584.494324691 
 01/02  01:00:00,1220678611.491984,97736088.08398768,0.0,0.0,134569963.08410802,717706469.7819098,3053210596.374482,3045124702.553826,8085893.820656593 
 01/02  02:00:00,1199864614.7012079,78188870.46719015,0.0,0.0,134569963.08410802,717706469.7819098,2269375490.3797646,2261288458.2697515,8087032.110013013 
 01/02  03:00:00,1220886449.485237,97736088.08398768,0.0,0.0,134569963.08410802,717706469.7819098,3073724575.090389,3057622790.3834877,16101784.70690105 
